"social_network","usage","value","max","share"
"Старокостянтинів","Публічні обговорення регуляторних актів",0,3,0
"Боярка","Публічні обговорення регуляторних актів",0,3,0
"Костянтинівка","Публічні обговорення регуляторних актів",0,3,0
"Жовті Води","Публічні обговорення регуляторних актів",0,3,0
"Ізюм","Публічні обговорення регуляторних актів",0,3,0
"Мирноград","Публічні обговорення регуляторних актів",0,3,0
"Самбір","Публічні обговорення регуляторних актів",0,3,0
"Новоград-Волинський","Публічні обговорення регуляторних актів",0,3,0
"Конотоп","Публічні обговорення регуляторних актів",0,3,0
"Павлоград","Публічні обговорення регуляторних актів",0,3,0
"Шостка","Публічні обговорення регуляторних актів",0,3,0
"Васильків","Публічні обговорення регуляторних актів",0,3,0
"Вараш","Публічні обговорення регуляторних актів",0,3,0
"Марганець","Публічні обговорення регуляторних актів",0,3,0
"Полтава","Публічні обговорення регуляторних актів",0,3,0
"Куп'янськ","Публічні обговорення регуляторних актів",0,3,0
"Нова Каховка","Публічні обговорення регуляторних актів",0,3,0
"Нововолинськ","Публічні обговорення регуляторних актів",0,3,0
"Стрий","Публічні обговорення регуляторних актів",0,3,0
"Вишневе","Публічні обговорення регуляторних актів",0,3,0
"Кривий Ріг","Публічні обговорення регуляторних актів",0,3,0
"Черкаси","Публічні обговорення регуляторних актів",0,3,0
"Прилуки","Публічні обговорення регуляторних актів",0,3,0
"Умань","Публічні обговорення регуляторних актів",0,3,0
"Покровськ","Публічні обговорення регуляторних актів",0,3,0
"Дунаївці","Публічні обговорення регуляторних актів",0,3,0
"Новомосковськ","Публічні обговорення регуляторних актів",0,3,0
"Івано-Франківськ","Рішення регуляторних актів міськради",1,1,100
"Київ","Рішення регуляторних актів міськради",1,1,100
"Вінниця","Рішення регуляторних актів міськради",0,1,0
"Львів","Рішення регуляторних актів міськради",1,1,100
"Біла Церква","Рішення регуляторних актів міськради",1,1,100
"Одеса","Рішення регуляторних актів міськради",1,1,100
"Дружківка","Рішення регуляторних актів міськради",1,1,100
"Бердянськ","Рішення регуляторних актів міськради",1,1,100
"Серєродонецьк","Рішення регуляторних актів міськради",1,1,100
"Суми","Рішення регуляторних актів міськради",1,1,100
"Володимир Волинський","Рішення регуляторних актів міськради",1,1,100
"Рівне","Рішення регуляторних актів міськради",1,1,100
"Ізмаїл","Рішення регуляторних актів міськради",1,1,100
"Запоріжжя","Рішення регуляторних актів міськради",0.5,1,50
"Кам'янське","Рішення регуляторних актів міськради",1,1,100
"Дрогобич","Рішення регуляторних актів міськради",1,1,100
"Коростень","Рішення регуляторних актів міськради",0,1,0
"Тернопіль","Рішення регуляторних актів міськради",1,1,100
"Краматорськ","Рішення регуляторних актів міськради",1,1,100
"Коломия","Рішення регуляторних актів міськради",1,1,100
"Житомир","Рішення регуляторних актів міськради",0.5,1,50
"Калуш","Рішення регуляторних актів міськради",0,1,0
"Луцьк","Рішення регуляторних актів міськради",1,1,100
"Нікополь","Рішення регуляторних актів міськради",1,1,100
"Ужгород","Рішення регуляторних актів міськради",1,1,100
"Бахмут","Рішення регуляторних актів міськради",0,1,0
"Дніпро","Рішення регуляторних актів міськради",1,1,100
"Енергодар","Рішення регуляторних актів міськради",0,1,0
"Кропивницький","Рішення регуляторних актів міськради",1,1,100
"Чернігів","Рішення регуляторних актів міськради",0,1,0
"Ромни","Рішення регуляторних актів міськради",1,1,100
"Бориспіль","Рішення регуляторних актів міськради",0.5,1,50
"Миргород","Рішення регуляторних актів міськради",1,1,100
"Маріуполь","Рішення регуляторних актів міськради",1,1,100
"Первомайськ","Рішення регуляторних актів міськради",1,1,100
"Кам'янець-Подільський","Рішення регуляторних актів міськради",1,1,100
"Ковель","Рішення регуляторних актів міськради",0,1,0
"Олександрія","Рішення регуляторних актів міськради",0,1,0
"Ніжин","Рішення регуляторних актів міськради",1,1,100
"Лубни","Рішення регуляторних актів міськради",1,1,100
"Охтирка","Рішення регуляторних актів міськради",1,1,100
"Хмельницький","Рішення регуляторних актів міськради",0,1,0
"Бровари","Рішення регуляторних актів міськради",1,1,100
"Жмеринка","Рішення регуляторних актів міськради",0,1,0
"Миколаїв","Рішення регуляторних актів міськради",0.5,1,50
"Лисичанськ","Рішення регуляторних актів міськради",1,1,100
"Слов'янськ","Рішення регуляторних актів міськради",1,1,100
"Білгород Дністровський","Рішення регуляторних актів міськради",0.5,1,50
"Дубно","Рішення регуляторних актів міськради",0,1,0
"Мелітополь","Рішення регуляторних актів міськради",1,1,100
"Шепетівка","Рішення регуляторних актів міськради",0,1,0
