"city","usage","value","max","share","lat","lon","district"
"Коростень","Рішення регуляторних актів виконкому",0,1,0,50.9532135,28.6457544,"no"
"Тернопіль","Рішення регуляторних актів виконкому",1,1,100,49.553517,25.594767,"yes"
"Краматорськ","Рішення регуляторних актів виконкому",0,1,0,48.738967,37.58435,"no"
"Коломия","Рішення регуляторних актів виконкому",1,1,100,48.5304917,25.0412055,"no"
"Житомир","Рішення регуляторних актів виконкому",0.5,1,50,50.25465,28.6586669,"yes"
"Калуш","Рішення регуляторних актів виконкому",0,1,0,49.0414259,24.3950384,"no"
"Луцьк","Рішення регуляторних актів виконкому",1,1,100,50.747233,25.325383,"yes"
"Нікополь","Рішення регуляторних актів виконкому",1,1,100,47.56746,34.394815,"no"
"Ужгород","Рішення регуляторних актів виконкому",1,1,100,48.6208,22.287883,"yes"
"Бахмут","Рішення регуляторних актів виконкому",0,1,0,48.5986674,37.9980367,"no"
"Дніпро","Рішення регуляторних актів виконкому",1,1,100,48.464717,35.046183,"yes"
"Енергодар","Рішення регуляторних актів виконкому",0,1,0,47.5015067,34.6341859,"no"
"Кропивницький","Рішення регуляторних актів виконкому",1,1,100,48.507933,32.262317,"yes"
"Чернігів","Рішення регуляторних актів виконкому",0,1,0,51.4982,31.2893499,"yes"
"Ромни","Рішення регуляторних актів виконкому",1,1,100,50.7415087,33.4809526,"no"
"Бориспіль","Рішення регуляторних актів виконкому",1,1,100,50.3482,30.95615,"no"
"Миргород","Рішення регуляторних актів виконкому",1,1,100,49.9627279,33.6053332,"no"
"Маріуполь","Рішення регуляторних актів виконкому",1,1,100,47.097133,37.543367,"no"
"Первомайськ","Рішення регуляторних актів виконкому",1,1,100,48.0451251,30.8884315,"no"
"Кам'янець-Подільський","Рішення регуляторних актів виконкому",1,1,100,48.6967162,26.5825364,"no"
"Ковель","Рішення регуляторних актів виконкому",0,1,0,51.209018,24.6980251,"no"
"Олександрія","Рішення регуляторних актів виконкому",0,1,0,48.6632704,33.0967875,"no"
"Ніжин","Рішення регуляторних актів виконкому",1,1,100,51.0377956,31.8880994,"no"
"Лубни","Рішення регуляторних актів виконкому",1,1,100,50.0173168,32.9908442,"no"
